"Year","OM","Total Divers","# Air Dives","# Air Divers","Air Dive Time (min)","# MIxed Gas Dives","# Mixed Gas Divers","Mixed Gas Time (mins)","# Nitrox Dives","# Nitrox Divers","Nitrox Dive Time (min)","ContactKey","# Hookah Dives","# Hookah Divers","Hookah Dive Time (min)","# Open Circuit Dives","# Open Circuit Divers","Open Circuit Dive Time (min)","# Rebreather Dives","# Rebreather Divers","Rebreather Dive Time (min)","# Surface Supplied Dives","# Surface Supplied Divers","Surface Supplied Dive Time (min)","# Computer Dives","# Computer Divers","Computer Dive Time (min)","# Software Dives","# Software Divers","Software Dive Time (min)","# Table Dives","# Table Divers","Table Dive Time (min)","# 0-30ft Dives","# 0-30ft Divers","#31-60ft Dives","#31-60ft Divers","#61-100ft Dives","#61-100ft Divers","# 101-130ft Dives","# 101-130ft Divers","# 131-150ft Dives","#131-150ft Divers","# 151-190ft Dives","#151-190ft Divers","# 191+ft Dives","# 191+ft Divers","# Science Dives","# Science Divers","Science Dive Time (min)","#T/P Dives","# T/P Divers","T/P Dive Time (min)","# Aquarium Dives","# Aquarium Divers","Aquarium Dive Time (min)","# Bluewater Dives","# Bluewater Divers","Blue Water Dive Time (min)","# IcePolar Dives","# IcePolar Divers","IcePolar Dive Time (min)","# Overhead Dives","# Overhead Divers","Overhead Dive Time (min)","# ReqDecomp Dives","# ReqDecomp Divers","ReqDecomp Dive Time (min)","# Sat Dives","# Sat Divers","Sat Dive Time (min)","Total  Dive Incidents"
"2024","Los Angeles County Sanitation Districts","5","21","5","613","0","0","0","157","5","4886","25019","0","0","0","178","5","5499","0","0","0","0","0","0","178","5","5499","0","0","0","0","0","0","14","5","58","5","92","5","14","5","0","0","0","0","0","0","164","5","5151","14","5","348","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024","Deepwater Conservation Initiative","13","158","13","7705","0","0","0","0","0","0","31524","0","0","0","158","13","7705","0","0","0","0","0","0","158","13","7705","0","0","0","0","0","0","102","13","56","6","0","0","0","0","0","0","0","0","0","0","88","13","4504","70","4","3201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024","Walla Walla University","13","275","13","10706","0","0","0","50","2","1900","25041","0","0","0","325","13","12606","0","0","0","0","0","0","325","13","12606","0","0","0","0","0","0","55","13","123","12","142","9","5","2","0","0","0","0","0","0","201","9","8220","124","13","4386","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024","Jacobs","10","373","10","17003","0","0","0","0","0","0","25025","0","0","0","373","10","17003","0","0","0","0","0","0","167","8","7297","0","0","0","206","7","9706","225","10","148","9","0","0","0","0","0","0","0","0","0","0","355","10","16112","18","8","891","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024","Aquarium of the Pacific","24","329","24","13112","22","3","1301","45","10","1370","24868","0","0","0","374","24","14482","22","3","1301","0","0","0","396","24","15783","0","0","0","0","0","0","79","24","176","21","135","19","2","1","0","0","0","0","4","1","232","24","9246","164","24","6537","0","0","0","2","1","118","7","1","237","0","0","0","5","1","426","0","0","0","0"
"2024","MBC Aquatic Sciences","6","392","6","7918","0","0","0","50","6","1063","24914","0","0","0","442","6","8981","0","0","0","0","0","0","442","6","8981","0","0","0","0","0","0","150","6","224","6","55","6","13","6","0","0","0","0","0","0","402","6","8101","40","6","880","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024","Resource Environmental Solutions","9","4","4","240","0","0","0","53","8","4650","25036","0","0","0","57","9","4890","0","0","0","0","0","0","57","9","4890","0","0","0","0","0","0","57","9","0","0","0","0","0","0","0","0","0","0","0","0","53","8","4650","4","4","240","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024","Seahorse Coastal Consulting","14","144","12","7227","0","0","0","194","12","6573","25027","0","0","0","338","14","13800","0","0","0","0","0","0","334","13","13486","0","0","0","4","2","314","90","13","83","12","114","13","51","7","0","0","0","0","0","0","256","12","10031","82","12","3769","2","2","82","19","3","909","0","0","0","4","3","203","8","3","314","0","0","0","0"
"2024","Monterey Bay Aquarium","31","340","29","14321","0","0","0","202","12","10488","24916","0","0","0","542","31","24809","0","0","0","0","0","0","542","31","24809","0","0","0","0","0","0","168","26","352","29","22","10","0","0","0","0","0","0","0","0","524","31","23767","18","6","1042","0","0","0","27","9","1656","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024","Alaska SeaLife Center","23","525","23","24018","0","0","0","0","0","0","24863","0","0","0","525","23","24018","0","0","0","0","0","0","274","18","11981","0","0","0","251","16","12037","476","23","36","12","13","4","0","0","0","0","0","0","0","0","377","19","18365","148","19","5653","443","22","21453","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024","AECOS","8","25","4","1200","0","0","0","253","5","4401","25050","0","0","0","278","8","5601","0","0","0","0","0","0","278","8","5601","0","0","0","0","0","0","270","8","8","4","0","0","0","0","0","0","0","0","0","0","257","5","4584","21","3","1017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024","University of Rhode Island","76","1276","76","50979","0","0","0","0","0","0","24999","0","0","0","1276","76","50979","0","0","0","0","0","0","1276","76","50979","0","0","0","0","0","0","728","74","508","59","40","17","0","0","0","0","0","0","0","0","331","38","12341","945","63","38638","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024","University of California, Davis","40","617","39","27526","0","0","0","108","20","4299","24983","0","0","0","700","39","31066","0","0","0","25","3","759","725","40","31825","0","0","0","0","0","0","419","39","183","27","119","26","4","4","0","0","0","0","0","0","546","38","24791","179","22","7034","0","0","0","0","0","0","25","3","759","25","3","759","0","0","0","0","0","0","0"
"2024","Stanford University","33","592","33","24220","0","0","0","0","0","0","24957","0","0","0","592","33","24220","0","0","0","0","0","0","565","32","22528","0","0","0","27","1","1692","255","31","257","25","80","21","0","0","0","0","0","0","0","0","516","32","21513","76","11","2707","0","0","0","7","2","116","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024","University of South Florida","104","1089","104","38120","0","0","0","966","42","33805","25000","0","0","0","2055","104","71925","0","0","0","0","0","0","1233","81","43155","0","0","0","822","59","28770","988","90","898","57","151","43","18","8","0","0","0","0","0","0","1870","104","65452","185","42","6473","0","0","0","140","6","4900","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024","Florida State University Panama City","22","335","22","11960","0","0","0","292","20","8008","24898","0","0","0","601","22","19317","0","0","0","26","4","651","270","10","10040","1","1","180","356","17","9748","370","22","169","18","75","13","13","2","0","0","0","0","0","0","271","19","9258","356","22","10710","0","0","0","1","1","20","0","0","0","108","15","2829","11","2","269","0","0","0","0"
"2024","SCUBAnauts International, Inc.","80","886","80","42228","0","0","0","135","23","3397","24948","0","0","0","1021","80","45625","0","0","0","0","0","0","305","60","13992","0","0","0","716","80","31633","629","79","310","59","81","23","1","1","0","0","0","0","0","0","672","59","25005","349","78","20620","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024","Northeastern University","53","1446","53","58483","0","0","0","36","3","1489","24928","0","0","0","1482","53","59972","0","0","0","0","0","0","1482","53","59972","0","0","0","0","0","0","794","53","476","37","196","24","16","3","0","0","0","0","0","0","1184","36","50629","298","23","9343","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024","Coastal Eco-Group, Inc.","16","943","15","43234","0","0","0","85","5","2548","25023","0","0","0","1028","16","45782","0","0","0","0","0","0","1028","16","45782","0","0","0","0","0","0","957","15","43","6","28","4","0","0","0","0","0","0","0","0","1028","16","45782","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024","University of Southern California","67","1090","65","38139","2","2","100","34","4","1818","25001","1","1","32","1094","65","38535","31","1","1490","0","0","0","1105","66","39398","0","0","0","21","5","659","572","62","500","65","31","10","20","8","3","2","0","0","0","0","260","30","9708","866","63","30349","0","0","0","0","0","0","0","0","0","0","0","0","10","1","620","0","0","0","0"
"2024","University of Delaware","15","341","15","11145","0","0","0","32","10","1070","24987","0","0","0","373","15","12215","0","0","0","0","0","0","294","11","9310","0","0","0","79","5","2905","98","10","119","14","99","13","53","7","4","2","0","0","0","0","156","10","3297","217","13","8918","0","0","0","3","1","69","0","0","0","41","5","1486","7","3","280","0","0","0","0"
"2024","Broward County, FL Natural Resources Division","10","66","4","3160","0","0","0","73","9","3231","24874","0","0","0","139","10","6391","0","0","0","0","0","0","139","10","6391","0","0","0","0","0","0","51","6","44","9","42","9","2","1","0","0","0","0","0","0","135","10","6207","4","1","184","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024","The Florida Aquarium","252","4697","252","233063","0","0","0","0","0","0","24968","564","79","22523","3786","250","197676","0","0","0","347","56","12864","83","26","4164","0","0","0","4614","251","228899","4651","252","46","9","0","0","0","0","0","0","0","0","0","0","4448","252","226028","249","75","7035","4612","252","229182","0","0","0","0","0","0","1","1","39","0","0","0","0","0","0","0"
"2024","Southern California Ocean Restoration Divers","28","646","27","31641","0","0","0","107","7","3631","24956","3","1","561","750","28","34711","0","0","0","0","0","0","737","26","34485","0","0","0","16","4","787","481","26","163","15","100","7","8","5","0","0","0","0","1","1","700","27","32916","53","4","2356","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024","University of California Los Angeles","78","1806","78","105282","9","1","838","65","6","1828","24981","0","0","0","1869","77","107013","11","2","935","0","0","0","1589","73","99378","0","0","0","291","24","8570","1369","73","429","62","61","24","15","3","0","0","4","1","2","1","1098","67","84836","782","49","23112","8","1","341","31","5","1128","0","0","0","4","1","213","8","2","713","0","0","0","0"
"2024","Bermuda Institute of Ocean Sciences","53","1042","53","39580","0","0","0","0","0","0","24872","0","0","0","1042","53","39580","0","0","0","0","0","0","1042","53","39580","0","0","0","0","0","0","715","53","225","49","102","43","0","0","0","0","0","0","0","0","784","51","31732","258","52","7848","0","0","0","0","0","0","0","0","0","41","40","1702","0","0","0","0","0","0","0"
