Industry,Rate,Year
"Agriculture, forestry, fishing and hunting",7.1,2000
"Mining, quarrying, and oil and gas extraction",4.7,2000
Construction,8.3,2000
Manufacturing,9,2000
"Trade, transportation, and utilities",6.4,2000
"Newspaper, periodical, book, and directory publishers",5.1,2000
"Finance, insurance, and real estate",1.9,2000
Educational services,3.2,2000
Performing arts companies,6.9,2000
Scientific Diving,0.26,2000
"Agriculture, forestry, fishing and hunting",7.3,1999
"Mining, quarrying, and oil and gas extraction",4.4,1999
Construction,8.6,1999
Manufacturing,9.2,1999
"Trade, transportation, and utilities",6.7,1999
"Newspaper, periodical, book, and directory publishers",5,1999
"Finance, insurance, and real estate",1.8,1999
Educational services,2.9,1999
Performing arts companies,6.7,1999
Scientific Diving,0.43,1999
"Agriculture, forestry, fishing and hunting",7.9,1998
"Mining, quarrying, and oil and gas extraction",4.9,1998
Construction,8.8,1998
Manufacturing,9.7,1998
"Trade, transportation, and utilities",6.9,1998
"Newspaper, periodical, book, and directory publishers",5.4,1998
"Finance, insurance, and real estate",1.9,1998
Educational services,3.1,1998
Performing arts companies,8.2,1998
Scientific Diving,0.17,1998
